Sep lot,Address,Sep guide,Sep guide low,Oct lot,Oct guide,Oct guide low,Guide move %,Our accepted offer,Hometrack AVM,Serco status,Status,Match verification
81,"1 Hunter House, Hunter Road, Guildford, Surrey, GU1 3LQ",£140000+,140000,,,,,160000,£337000,Outside region,Not in October catalogue,postcode not in catalogue
59,"Land on the North-East side of Looe Gardens, Ilford, Essex, IG6 2BJ",£135000+,135000,,,,,,N/A - land,Outside region,Not in October catalogue,postcode not in catalogue
48,"30 Ancton Way, Bognor Regis, West Sussex, PO22 6JW",£130000+,130000,,,,,,£186000,Outside region,Not in October catalogue,postcode not in catalogue
102,"3 Dane Court, College House, St Albans, Hertfordshire, AL1 5NX",£110000+,110000,,,,,,£174000,Not on Serco list - VERIFY,Not in October catalogue,postcode not in catalogue
37,"37 and 37A Trevenson Street, Camborne, Cornwall, TR14 8JD",£100000+,100000,,,,,,£122000,Outside region,Not in October catalogue,postcode not in catalogue
105A,"The Bungalow, 1 Chapel Lane, Maidford, Towcester, Northamptonshire, NN12 8HU",£100000+,100000,,,,,110000,£302000,Serco region - VERIFY,Not in October catalogue,postcode not in catalogue
115A,"27 West Road, Shoeburyness, Southend-on-Sea, Essex, SS3 9DR",£100000+,100000,,,,,110000,£218000,Serco region - VERIFY,Not in October catalogue,postcode not in catalogue
61,"Unit SU8, 5 Jubilee Way, Scunthorpe, North Lincolnshire, DN15 6RB",£95000+,95000,,,,,,N/A - retail,Not on Serco list,Not in October catalogue,postcode not in catalogue
62,"9 College Walk, Rotherham, South Yorkshire, S60 1QB",£95000+,95000,,,,,,N/A - retail,Outside region,Not in October catalogue,postcode not in catalogue
70A,"94A Middleton Grange Shopping Centre, Hartlepool, Cleveland, TS24 7RW",£95000+,95000,,,,,,N/A - retail,Outside region,Not in October catalogue,postcode not in catalogue
105,"2 Garfield Street, Northampton, Northamptonshire, NN2 6NW",£95000-£145000,95000,,,,,145000,£250000,Serco region - VERIFY,Not in October catalogue,postcode not in catalogue
111,"29A High Street, March, Cambridgeshire, PE15 0XA",£95000+,95000,,,,,,£178000,OPEN,Not in October catalogue,postcode not in catalogue
152,"Flat 2, 201 Waldegrave Road, Teddington, Richmond upon Thames, TW11 8LX",£95000+,95000,,,,,,£362000,Outside region,Not in October catalogue,postcode not in catalogue
82,"Apartment 43, 18 Church Street, Manchester, Lancashire, M4 1PN",£90000+,90000,,,,,120000,£193000,CLOSED + NW paused,Not in October catalogue,postcode not in catalogue
63,"29 Hervey Street, Lowestoft, Suffolk, NR32 2JG",£75000+,75000,,,,,75000,£153000,OPEN,Not in October catalogue,postcode not in catalogue
100,"36 Hobart Road, Weston-super-Mare, Avon, BS23 4QN",£70000-£115000,70000,,,,,115000,£129000,Outside region,Not in October catalogue,postcode not in catalogue
22,"4 Nairn Court, Dock Road, Tilbury, Essex, RM18 7BY",£60000+,60000,,,,,75000,£149000,Not on Serco list,Not in October catalogue,postcode not in catalogue
69,"9A Battle Hill, Hexham, Northumberland, NE46 1BA",£50000-£75000,50000,,,,,,N/A,Outside region,Not in October catalogue,postcode not in catalogue
73,"106 High Street, Redcar, Cleveland, TS10 3DL",£50000-£80000,50000,,,,,,£82000,Outside region,Not in October catalogue,postcode not in catalogue
90,"The Vaults, Manor Road, Chatham, Kent, ME4 6HW",£50000-£110000,50000,,,,,175000,£379000,Outside region,Not in October catalogue,postcode not in catalogue
109,"Land to the rear of 21 Greenfield Road, Pulloxhill, Bedford, Bedfordshire, MK45 5EZ",£50000+,50000,,,,,,N/A - land,Not on Serco list,Not in October catalogue,postcode not in catalogue
163,"Flat 3, 55 West Avenue, Filey, North Yorkshire, YO14 9AX",£50000+,50000,,,,,55000,£130000,Outside region,Not in October catalogue,postcode not in catalogue
86,"65 Reeves Road, Derby, Derbyshire, DE23 8JF",£45000+,45000,,,,,85000,£87500,Serco region - VERIFY,Not in October catalogue,postcode not in catalogue
166A,"4 Milburn Street, Crook, County Durham, DL15 9DY",£40000-£60000,40000,,,,,60000,£92500,Outside region,Not in October catalogue,postcode not in catalogue
165A,"Land to the rear of 141 Parsonage Road, Rainham, Essex, RM13 9LB",£35000+,35000,,,,,,N/A - land,Outside region,Not in October catalogue,postcode not in catalogue
101,"49 Exmouth Road, Great Yarmouth, Norfolk, NR30 3DP",£30000-£55000,30000,,,,,55000,£81000,OPEN,Not in October catalogue,postcode not in catalogue
