lot,address,guide_price,hometrack,serco_status,accepted_offer,status,confidence,site_lot,site_guide,site_entry
121,"103 Buckingham Road, Edgware, Middlesex, HA8 6NN",£185000+,£190000,Outside region,,NOT LISTED,postcode absent from dumps,,,
122,"73 Hampton Road, Teddington, Middlesex, TW11 0LA",£300000+,£533000,Outside region,NO OFFERS,NOT LISTED,postcode absent from dumps,,,
122A,"First & Second Floor, 5 Cornmarket, Penrith, Cumbria, CA11 7DA",£20000-£45000,£136000,CLOSED + NW paused,£45000,NOT LISTED,postcode absent from dumps,,,
123,"98 Victoria Road North, Southsea, Hampshire, PO5 1QE",£220000+,£269000,Outside region,,still-available,postcode + number,359971,Please refer to auctioneer for more information,"359971 | 98 Victoria Road North, Southsea, Hampshire, PO5 1QE | Please refer to auctioneer for more information"
125A,"34 Murton Lane, Easington Lane, Houghton Le Spring, Tyne and Wear, DH5 0NB",£30000-£40000,£40000,Outside region,,still-available,postcode + number,362209,Please refer to auctioneer for more information,"362209 | 34 Murton Lane, Easington Lane, Houghton Le Spring, Tyne And Wear, DH5 0NB | Please refer to auctioneer for more information"
127,"Garage at 1 The Chestnuts, Gwydor Road, Beckenham, Kent, BR3 4DU",£10000+,N/A - garage,Outside region,,SOLD PRIOR,AMBIGUOUS - 2 lots share BR34DU,365419,"Sold prior for £8,000","365419 | Garage at 1 The Chestnuts, Gwydor Road, Beckenham, Kent, BR3 4DU | Sold prior for £8,000"
152,"Flat 2, 201 Waldegrave Road, Teddington, Richmond upon Thames, TW11 8LX",£95000+,£362000,Outside region,NO OFFERS,still-available,postcode + number,360855,Please refer to auctioneer for more information,"360855 | Flat 2, 201 Waldegrave Road, Teddington, Richmond upon Thames, TW11 8LX | Please refer to auctioneer for more information"
152A,"Flat 201 Lemare Lodge, Fair Acres, Bromley, Kent, BR2 9BS",UNKNOWN,£226000,Outside region,,NOT LISTED,postcode absent from dumps,,,
153,"2102 Kew Eye Apartments, Ealing Road, Brentford, Middlesex, TW8 0GA",£410000+,£499000,Outside region,,october-catalogue,postcode + number,365556,"£410,000+","365556 | 2102 Kew Eye Apartments, Ealing Road, Brentford, Middlesex, TW8 0GA | £410,000+"
158,"Flat 43 Ferrydale Lodge, 48 Church Road, Hendon, London, NW4 4EW",£170000+,£224000,Outside region,,still-available,postcode + number,361152,Please refer to auctioneer for more information,"361152 | Flat 43 Ferrydale Lodge, 48 Church Road, Hendon, London, NW4 4EW | Please refer to auctioneer for more information"
160,"Parking Space 31 Lollard Street, Lambeth, London, SE11 6PX",£10000+,N/A - parking,Outside region,,october-catalogue,postcode + number,366470,"£5,000-£10,000","366470 | Parking Space 31 Lollard Street, Lambeth, London, SE11 6PX | £5,000-£10,000"
160A,"18 Farringford Court, 1 Avenue Road, Lymington, Hampshire, SO41 9PA",£5000-£10000,£150000,Outside region,£5000,NOT LISTED,postcode absent from dumps,,,
163,"Flat 3, 55 West Avenue, Filey, North Yorkshire, YO14 9AX",£50000+,£130000,Outside region,£55000,NOT LISTED,postcode absent from dumps,,,
164,"2 Broad Street, St. Columb, Cornwall, TR9 6AS",£15000+,£20500,Outside region,,NOT LISTED,postcode absent from dumps,,,
165A,"Land to the rear of 141 Parsonage Road, Rainham, Essex, RM13 9LB",£35000+,N/A - land,Outside region,,NOT LISTED,postcode absent from dumps,,,
166,"Apartment 006 New Bank House, 100 Queen Street, Sheffield, South Yorkshire, S1 2FA",£15000-£35000,£58000,Outside region,£35000,october-catalogue,postcode + number,365395,"£5,000-£15,000","365395 | Apartment 006 New Bank House, 100 Queen Street, Sheffield, South Yorkshire, S1 2FA | £5,000-£15,000"
166A,"4 Milburn Street, Crook, County Durham, DL15 9DY",£40000-£60000,£92500,Outside region,£60000,still-available,postcode + number,362208,Please refer to auctioneer for more information,"362208 | 4 Milburn Street, Crook, County Durham, DL15 9DY | Please refer to auctioneer for more information"
168,"Flat A9-D Leighton Street, Leighton Street, Preston, Lancashire, PR1 8RH",£5000-£10000,N/A,CLOSED + NW paused,,still-available,postcode only,361422,Please refer to auctioneer for more information,"361422 | Flat A9-D Leighton Hall, Leighton Street, Preston, Lancashire, PR1 8RH | Please refer to auctioneer for more information"
169,"4 Highfield Road, Newbold, Derbyshire, S41 7EY",£25000+,£310000,Serco region - VERIFY,£25000,still-available,postcode + number,361373,Please refer to auctioneer for more information,"361373 | 4 Highfield Road, Newbold, Derbyshire, S41 7EY | Please refer to auctioneer for more information"
170,"Plot 2 Abbey Street, Ickleton, Saffron Walden, Essex, CB10 1SS",£3000+,N/A - plot,Serco region - VERIFY,,still-available,postcode + number,361592,Please refer to auctioneer for more information,"361592 | Plot 2 Abbey Street, Ickleton, Saffron Walden, Essex, CB10 1SS | Please refer to auctioneer for more information"
171,"Plot 8 Boreham Place, New England, Halstead, Essex, CO9 4BD",£5000+,N/A - plot,Serco region - VERIFY,,still-available,postcode + number,361590,Please refer to auctioneer for more information,"361590 | Plot 8 Boreham Place, New England, Halstead, Essex, CO9 4BD | Please refer to auctioneer for more information"
172,"Plot 4 Station Road, Shirehampton, Bristol, Avon, BS11 9XA",£5000+,N/A - plot,Outside region,,still-available,postcode + number,361591,Please refer to auctioneer for more information,"361591 | Plot 4 Station Road, Shirehampton, Bristol, Avon, BS11 9XA | Please refer to auctioneer for more information"
173,"Compound 1, Par Moor Road, Par, Cornwall, PL24 2SQ",£3000+,N/A - compound,Outside region,,NOT LISTED,postcode absent from dumps,,,
174,"Garage and Land to the Rear of 16 Stanley Park Drive, Wembley, Middlesex, HA0 1SG",£5000+,N/A - garage,Outside region,,NOT LISTED,postcode absent from dumps,,,
175,"Parking Space at 99 Mile End Road, Tower Hamlets, London, E1 4UH",£5000-£15000,N/A - parking,Outside region,,october-catalogue,postcode only,364481,"£5,000-£15,000","364481 | Parking Space at 99 Mile End Road, Tower Hamlets, London, E1 4UH | £5,000-£15,000"
178,"Garage at Seddon Court, Hepplewhite Close, Crawley, West Sussex, RH11 9LF",£5000-£10000,N/A - garage,Outside region,,still-available,postcode only,360373,Please refer to auctioneer for more information,"360373 | Garage at Seddon Court, Hepplewhite Close, Crawley, West Sussex, RH11 9LF | Please refer to auctioneer for more information"
179,"Land at Green Lane, Warlingham, Surrey, CR6 9EE",£15000-£30000,N/A - land,Outside region,,still-available,postcode only,357848,Please refer to auctioneer for more information,"357848 | Land at Green Lane, Warlingham, Surrey, CR6 9EE | Please refer to auctioneer for more information"
182,"Land to the Rear of 103 Church Street, Broadstairs, Kent, CT10 2TX",£10000+,N/A - land,Outside region,,SOLD PRIOR,AMBIGUOUS - 2 lots share CT102TX,365540,"Sold prior to auction, for an undisclosed amount","365540 | Land to the Rear of 103 Church Street, Broadstairs, Kent, CT10 2TX | Sold prior to auction, for an undisclosed amount"
